mode,n,sparsity,iters,threads,csr,csr_total,dense
parallel,100,0,1,1,2.45e-05,0.000128,2.075e-05
parallel,100,0,1,2,2.65e-05,0.000274,2.3e-05
parallel,100,0,1,4,4.9250000000000004e-05,0.0006305,4.075e-05
parallel,100,0,1,6,3.675e-05,0.0008055,3.35e-05
parallel,100,0,1,12,0.003504,0.01017825,0.00352125
parallel,100,0,10,1,0.0008165,0.001116,0.000741
parallel,100,0,10,2,0.00057625,0.00104375,0.00050675
parallel,100,0,10,4,0.0003335,0.00089875,0.0003165
parallel,100,0,10,6,0.00028025,0.0009515,0.000298
parallel,100,0,10,12,0.00031525,0.001591,0.00028675
parallel,100,0,20,1,0.002213,0.00262375,0.0020155
parallel,100,0,20,2,0.001277,0.00178875,0.001153
parallel,100,0,20,4,0.0006875,0.001251,0.00066725
parallel,100,0,20,6,0.000557,0.00122225,0.000485
parallel,100,0,20,12,0.0006065,0.001765,0.00048325
parallel,100,0,50,1,0.0054985,0.005903749999999999,0.00487925
parallel,100,0,50,2,0.002935,0.0034052500000000003,0.00262575
parallel,100,0,50,4,0.00165325,0.00221425,0.001557
parallel,100,0,50,6,0.00185425,0.00259175,0.0016005
parallel,100,0,50,12,0.013008500000000001,0.021012999999999997,0.00022925
parallel,100,0,70,1,0.001992,0.0021042500000000002,0.0017965
parallel,100,0,70,2,0.0043254999999999995,0.004826,0.0038495
parallel,100,0,70,4,0.00232125,0.00285225,0.002226
parallel,100,0,70,6,0.0023275,0.0029915,0.00196825
parallel,100,0,70,12,0.03580425,0.0401875,0.0012285
parallel,100,30,1,1,1.9e-05,0.00016324999999999998,2.275e-05
parallel,100,30,1,2,1.95e-05,0.00026025,2.2e-05
parallel,100,30,1,4,3.025e-05,0.00058575,3.525e-05
parallel,100,30,1,6,3.4e-05,0.00075025,3.525e-05
parallel,100,30,1,12,3.55e-05,0.0013665,3.7000000000000005e-05
parallel,100,30,10,1,0.00084775,0.00149475,0.001065
parallel,100,30,10,2,0.00046374999999999997,0.00107075,0.0005560000000000001
parallel,100,30,10,4,0.00029624999999999996,0.00090825,0.00037325
parallel,100,30,10,6,0.0002345,0.00096775,0.00029425
parallel,100,30,10,12,0.0190795,0.023084749999999998,0.00560625
parallel,100,30,20,1,0.000457,0.0006305,0.000565
parallel,100,30,20,2,0.00062925,0.00103775,0.00075875
parallel,100,30,20,4,0.00054175,0.0011525,0.00065025
parallel,100,30,20,6,0.0004835,0.0012085,0.00054
parallel,100,30,20,12,0.0005582499999999999,0.00177625,0.00052575
parallel,100,30,50,1,0.00398925,0.004587,0.00488175
parallel,100,30,50,2,0.00216725,0.00274925,0.00265075
parallel,100,30,50,4,0.00122475,0.00179225,0.001556
parallel,100,30,50,6,0.00162725,0.00232325,0.0017365
parallel,100,30,50,12,0.0010530000000000001,0.0025,0.00121225
parallel,100,30,70,1,0.00471775,0.0052267500000000005,0.00572125
parallel,100,30,70,2,0.0022447500000000002,0.0026595,0.0027099999999999997
parallel,100,30,70,4,0.0019494999999999998,0.0025945,0.002257
parallel,100,30,70,6,0.00173075,0.00239725,0.00201575
parallel,100,30,70,12,0.00148875,0.00270975,0.001861
parallel,100,50,1,1,6.9e-05,0.0008125,0.0001035
parallel,100,50,1,2,5.8e-05,0.000741,6.725e-05
parallel,100,50,1,4,3.0500000000000003e-05,0.000717,5.125e-05
parallel,100,50,1,6,3.425e-05,0.0008285,3.575e-05
parallel,100,50,1,12,0.0037530000000000003,0.00844575,0.00378625
parallel,100,50,10,1,0.00019975,0.0004445,0.000323
parallel,100,50,10,2,0.00031125,0.000921,0.00051725
parallel,100,50,10,4,0.0002385,0.00084825,0.00034275
parallel,100,50,10,6,0.00023674999999999998,0.000995,0.00031225000000000003
parallel,100,50,10,12,0.00023575,0.00147875,0.00029625
parallel,100,50,20,1,0.00125925,0.001988,0.0020265
parallel,100,50,20,2,0.00067125,0.001309,0.00107075
parallel,100,50,20,4,0.00042075,0.001028,0.00065375
parallel,100,50,20,6,0.00041474999999999997,0.001119,0.00054975
parallel,100,50,20,12,0.00046025000000000005,0.001644,0.000477
parallel,100,50,50,1,0.003025,0.0037524999999999998,0.00489725
parallel,100,50,50,2,0.0016785,0.002299,0.00264
parallel,100,50,50,4,0.00101925,0.00163875,0.00162025
parallel,100,50,50,6,0.00087475,0.00161925,0.001248
parallel,100,50,50,12,0.0011545000000000001,0.002397,0.00129575
parallel,100,50,70,1,0.00384675,0.004475,0.0059045
parallel,100,50,70,2,0.0018192500000000001,0.0023032499999999997,0.002812
parallel,100,50,70,4,0.0015395,0.0021415,0.00218225
parallel,100,50,70,6,0.00130325,0.0020285,0.00176575
parallel,100,50,70,12,0.0013545,0.0025677499999999997,0.0017304999999999998
parallel,100,70,1,1,4.975e-05,0.0006039999999999999,0.00010525
parallel,100,70,1,2,3.45e-05,0.00061825,6.475e-05
parallel,100,70,1,4,2.55e-05,0.0006455,4.1e-05
parallel,100,70,1,6,2.375e-05,0.0007307500000000001,4.175e-05
parallel,100,70,1,12,2.95e-05,0.001224,5.375e-05
parallel,100,70,10,1,0.000438,0.00101125,0.00107775
parallel,100,70,10,2,0.00027325,0.00086,0.0005974999999999999
parallel,100,70,10,4,0.0001625,0.000773,0.0003455
parallel,100,70,10,6,0.00015125000000000002,0.00089525,0.000281
parallel,100,70,10,12,0.000176,0.00144925,0.000274
parallel,100,70,20,1,0.000962,0.001518,0.002014
parallel,100,70,20,2,0.00047975,0.0010055,0.001095
parallel,100,70,20,4,0.00032425,0.0008705,0.00062175
parallel,100,70,20,6,0.00032575,0.0009885,0.0005585
parallel,100,70,20,12,0.00035525,0.0016555,0.0005245
parallel,100,70,50,1,0.0021065,0.00264875,0.0050195
parallel,100,70,50,2,0.0013495,0.001939,0.0029125
parallel,100,70,50,4,0.000771,0.001327,0.00149675
parallel,100,70,50,6,0.00072275,0.0013925,0.00127525
parallel,100,70,50,12,0.00080625,0.0022255,0.00117975
parallel,100,70,70,1,0.0028795,0.00345725,0.0069515
parallel,100,70,70,2,0.0011865,0.00157775,0.0025665
parallel,100,70,70,4,0.00109225,0.00167275,0.002253
parallel,100,70,70,6,0.00116275,0.0018995,0.00190175
parallel,100,70,70,12,0.014964,0.01884825,0.0007175
parallel,100,90,1,1,6.75e-06,7.9e-05,2.525e-05
parallel,100,90,1,2,1e-05,0.00020275,2.75e-05
parallel,100,90,1,4,1.95e-05,0.0005365,3.95e-05
parallel,100,90,1,6,2.025e-05,0.0007134999999999999,3.925e-05
parallel,100,90,1,12,3.4750000000000004e-05,0.001155,3.65e-05
parallel,100,90,10,1,0.00018525,0.00046049999999999997,0.00099475
parallel,100,90,10,2,0.00014275,0.00055125,0.00059
parallel,100,90,10,4,0.00011025,0.0006360000000000001,0.00033775
parallel,100,90,10,6,0.00010850000000000001,0.000771,0.00029725
parallel,100,90,10,12,0.01618425,0.02054125,9.325e-05
parallel,100,90,20,1,8.675e-05,0.00015725,0.00046275
parallel,100,90,20,2,0.000112,0.0002965,0.0004415
parallel,100,90,20,4,0.00020124999999999999,0.00071,0.0006670000000000001
parallel,100,90,20,6,0.00022975,0.0008532500000000001,0.0006385
parallel,100,90,20,12,0.03051975,0.034121500000000006,0.00011125
parallel,100,90,50,1,0.00031075,0.00041325,0.00173225
parallel,100,90,50,2,0.00058375,0.0009714999999999999,0.00242525
parallel,100,90,50,4,0.00053875,0.0010512499999999999,0.00177275
parallel,100,90,50,6,0.00050725,0.00115275,0.0014395
parallel,100,90,50,12,0.00055925,0.00175425,0.001294
parallel,100,90,70,1,0.0012685,0.00154425,0.00687225
parallel,100,90,70,2,0.001026,0.0014785,0.0040479999999999995
parallel,100,90,70,4,0.00079425,0.001315,0.00252475
parallel,100,90,70,6,0.0006792500000000001,0.0013075,0.001962
parallel,100,90,70,12,0.00077625,0.00187975,0.00168575
parallel,100,99,1,1,2.2e-05,0.00019925,0.0001115
parallel,100,99,1,2,1.85e-05,0.00037275,6.25e-05
parallel,100,99,1,4,1.525e-05,0.000488,3.875e-05
parallel,100,99,1,6,1.775e-05,0.0006464999999999999,5.625e-05
parallel,100,99,1,12,0.00349425,0.00769725,0.00626625
parallel,100,99,10,1,2.2499999999999998e-05,6.9e-05,0.00025525
parallel,100,99,10,2,5.85e-05,0.00034525,0.00038524999999999996
parallel,100,99,10,4,7.375e-05,0.00053575,0.00036574999999999997
parallel,100,99,10,6,7.625e-05,0.00071,0.00032575
parallel,100,99,10,12,8.675e-05,0.00129625,0.0003525
parallel,100,99,20,1,0.0001875,0.0003755,0.00213
parallel,100,99,20,2,0.0001535,0.000501,0.001163
parallel,100,99,20,4,0.0001315,0.0006055,0.00066475
parallel,100,99,20,6,0.000139,0.0007977500000000001,0.0006557500000000001
parallel,100,99,20,12,0.01740575,0.0220265,0.00041425
parallel,100,99,50,1,0.000216,0.00032425,0.002974
parallel,100,99,50,2,0.00035775,0.00070625,0.0028585
parallel,100,99,50,4,0.000338,0.000815,0.001755
parallel,100,99,50,6,0.00032050000000000004,0.0009165,0.001558
parallel,100,99,50,12,0.00038475,0.00148575,0.0013385
parallel,100,99,70,1,0.0005059999999999999,0.0006807499999999999,0.00687225
parallel,100,99,70,2,0.0005232500000000001,0.00089375,0.00400025
parallel,100,99,70,4,0.00048,0.00094275,0.00254625
parallel,100,99,70,6,0.00043575,0.00101875,0.00187675
parallel,100,99,70,12,0.0005434999999999999,0.00162325,0.0020912500000000002
parallel,1000,0,1,1,0.0020875,0.00981325,0.0018355
parallel,1000,0,1,2,0.0011665,0.0053665,0.00097425
parallel,1000,0,1,4,0.00055675,0.0027452500000000003,0.00048375
parallel,1000,0,1,6,0.000392,0.00200875,0.00032725
parallel,1000,0,1,12,0.0003525,0.00185375,0.0003065
parallel,1000,0,10,1,0.02038175,0.0279455,0.018541
parallel,1000,0,10,2,0.0106405,0.01472825,0.00941475
parallel,1000,0,10,4,0.0053595,0.00757475,0.004725
parallel,1000,0,10,6,0.00362225,0.00517425,0.003179
parallel,1000,0,10,12,0.00348525,0.00497125,0.00304025
parallel,1000,0,20,1,0.03959575,0.04705025,0.035624
parallel,1000,0,20,2,0.02070625,0.024761000000000002,0.0183415
parallel,1000,0,20,4,0.01080875,0.012982,0.009621
parallel,1000,0,20,6,0.0071835,0.00871025,0.00633575
parallel,1000,0,20,12,0.0069585,0.00845625,0.00602975
parallel,1000,0,50,1,0.098983,0.1063755,0.0887215
parallel,1000,0,50,2,0.05259075,0.05680425,0.046149499999999996
parallel,1000,0,50,4,0.02657075,0.02871825,0.02352
parallel,1000,0,50,6,0.0250435,0.027020000000000002,0.017447999999999998
parallel,1000,0,50,12,0.0174035,0.018985000000000002,0.01506125
parallel,1000,0,70,1,0.13879075,0.14634675,0.12382649999999999
parallel,1000,0,70,2,0.0737505,0.07777125,0.06457325
parallel,1000,0,70,4,0.03718275,0.0394035,0.032805749999999995
parallel,1000,0,70,6,0.02487475,0.0264645,0.022094
parallel,1000,0,70,12,0.029715,0.03454425,0.021062749999999998
parallel,1000,30,1,1,0.001446,0.01270225,0.00180575
parallel,1000,30,1,2,0.0007527500000000001,0.00678025,0.00094925
parallel,1000,30,1,4,0.00039,0.00350575,0.000482
parallel,1000,30,1,6,0.00032575,0.0027087500000000002,0.000385
parallel,1000,30,1,12,0.00025225,0.001974,0.0003075
parallel,1000,30,10,1,0.014289,0.02574375,0.01813625
parallel,1000,30,10,2,0.00739625,0.013434749999999999,0.00941
parallel,1000,30,10,4,0.00375625,0.006905,0.004719
parallel,1000,30,10,6,0.00302425,0.0054,0.00376925
parallel,1000,30,10,12,0.00244575,0.0041735,0.0030205
parallel,1000,30,20,1,0.02779225,0.0389235,0.03546375
parallel,1000,30,20,2,0.015551249999999999,0.02163525,0.018789
parallel,1000,30,20,4,0.007475,0.01060725,0.009402
parallel,1000,30,20,6,0.0050030000000000005,0.00720125,0.00634875
parallel,1000,30,20,12,0.0048684999999999996,0.0066145,0.00603925
parallel,1000,30,50,1,0.0697855,0.08116775,0.0890285
parallel,1000,30,50,2,0.03657875,0.04255575,0.04581425
parallel,1000,30,50,4,0.018664,0.0218045,0.02350275
parallel,1000,30,50,6,0.012479,0.014702,0.01576425
parallel,1000,30,50,12,0.0123035,0.014054500000000001,0.017813
parallel,1000,30,70,1,0.09695975,0.1080785,0.12354224999999999
parallel,1000,30,70,2,0.05007225,0.05605425,0.06331875000000001
parallel,1000,30,70,4,0.026055250000000002,0.029208249999999998,0.03353125
parallel,1000,30,70,6,0.017507,0.01973125,0.022093
parallel,1000,30,70,12,0.01701625,0.018752500000000002,0.0210495
parallel,1000,50,1,1,0.00107925,0.01475925,0.00189575
parallel,1000,50,1,2,0.0005387500000000001,0.00758775,0.0009545
parallel,1000,50,1,4,0.000276,0.003933,0.000481
parallel,1000,50,1,6,0.00018625,0.0027212499999999997,0.00031999999999999997
parallel,1000,50,1,12,0.000178,0.0019832499999999998,0.0003035
parallel,1000,50,10,1,0.0107025,0.02461125,0.018281
parallel,1000,50,10,2,0.00524025,0.012276249999999999,0.009303
parallel,1000,50,10,4,0.00268075,0.0063375,0.004713
parallel,1000,50,10,6,0.00179925,0.0043255,0.003159
parallel,1000,50,10,12,0.00177575,0.00358225,0.003066
parallel,1000,50,20,1,0.020233,0.03372925,0.03693325
parallel,1000,50,20,2,0.010494999999999999,0.0175915,0.018467
parallel,1000,50,20,4,0.00536125,0.00903775,0.0094015
parallel,1000,50,20,6,0.00360125,0.00614,0.00632675
parallel,1000,50,20,12,0.0035275,0.00536875,0.0060435
parallel,1000,50,50,1,0.05036625,0.06373925,0.0877815
parallel,1000,50,50,2,0.02585375,0.03294125,0.04640275
parallel,1000,50,50,4,0.013388,0.01705025,0.0235065
parallel,1000,50,50,6,0.0107785,0.013454250000000001,0.01875825
parallel,1000,50,50,12,0.0087035,0.01053225,0.01531125
parallel,1000,50,70,1,0.070925,0.0842155,0.1239575
parallel,1000,50,70,2,0.0366375,0.04371275,0.06411825
parallel,1000,50,70,4,0.018713,0.022379,0.033347
parallel,1000,50,70,6,0.01257225,0.01512925,0.0220785
parallel,1000,50,70,12,0.0122425,0.01404675,0.02103325
parallel,1000,70,1,1,0.0006225,0.010663,0.001814
parallel,1000,70,1,2,0.000341,0.00592,0.000975
parallel,1000,70,1,4,0.00016675,0.00292325,0.00047575
parallel,1000,70,1,6,0.000112,0.00205075,0.0003225
parallel,1000,70,1,12,0.00011925,0.0015444999999999999,0.00030575000000000003
parallel,1000,70,10,1,0.00622525,0.016309,0.018094
parallel,1000,70,10,2,0.00320125,0.008572,0.00940225
parallel,1000,70,10,4,0.00163225,0.00440925,0.00485225
parallel,1000,70,10,6,0.001091,0.003031,0.00316725
parallel,1000,70,10,12,0.0010745,0.002526,0.0030645
parallel,1000,70,20,1,0.01223025,0.02223475,0.03585025
parallel,1000,70,20,2,0.0063405,0.0117225,0.01889925
parallel,1000,70,20,4,0.0032430000000000002,0.0059945,0.0093985
parallel,1000,70,20,6,0.00219625,0.004139749999999999,0.0063125
parallel,1000,70,20,12,0.008663500000000001,0.0129835,0.0060165
parallel,1000,70,50,1,0.03048775,0.040714,0.08921675
parallel,1000,70,50,2,0.01589525,0.02124275,0.0460715
parallel,1000,70,50,4,0.008122250000000001,0.01088325,0.02347975
parallel,1000,70,50,6,0.0054445,0.007407,0.0157595
parallel,1000,70,50,12,0.013051499999999999,0.0175545,0.015032750000000001
parallel,1000,70,70,1,0.04160625,0.051508,0.12467349999999999
parallel,1000,70,70,2,0.021971,0.02730175,0.06398625
parallel,1000,70,70,4,0.0113345,0.01413325,0.0328325
parallel,1000,70,70,6,0.0090995,0.011146,0.026258999999999998
parallel,1000,70,70,12,0.00740575,0.00884375,0.02102425
parallel,1000,90,1,1,0.000221,0.0054304999999999996,0.00186925
parallel,1000,90,1,2,0.00010925,0.0028597500000000003,0.0009525
