mode,n,sparsity,iters,threads,csr,csr_total,dense
parallel,1000,90,1,4,6.075e-05,0.00156075,0.00050125
parallel,1000,90,1,6,3.925e-05,0.00110175,0.0003205
parallel,1000,90,1,12,3.85e-05,0.0009835,0.00030725
parallel,1000,90,10,1,0.0021809999999999998,0.0073662499999999995,0.01842725
parallel,1000,90,10,2,0.0011235,0.0038465,0.0093375
parallel,1000,90,10,4,0.00057025,0.0020357500000000002,0.0047195
parallel,1000,90,10,6,0.000515,0.00165725,0.0037660000000000003
parallel,1000,90,10,12,0.000402,0.0013215,0.0030192500000000002
parallel,1000,90,20,1,0.00431375,0.009422999999999999,0.03615725
parallel,1000,90,20,2,0.00221475,0.0049705,0.0185015
parallel,1000,90,20,4,0.00114175,0.0026045,0.00938925
parallel,1000,90,20,6,0.001007,0.00208925,0.00681925
parallel,1000,90,20,12,0.0008725,0.001792,0.00602175
parallel,1000,90,50,1,0.0104435,0.015526,0.088009
parallel,1000,90,50,2,0.0055925,0.0083395,0.047198000000000004
parallel,1000,90,50,4,0.00293275,0.004392,0.02347375
parallel,1000,90,50,6,0.00262175,0.00369675,0.01579925
parallel,1000,90,50,12,0.002376,0.003315,0.01503475
parallel,1000,90,70,1,0.014907,0.0200185,0.1270665
parallel,1000,90,70,2,0.007732999999999999,0.01044275,0.0642325
parallel,1000,90,70,4,0.0040925,0.00556125,0.0335465
parallel,1000,90,70,6,0.003766,0.00483175,0.022094
parallel,1000,90,70,12,0.00321025,0.00415625,0.021085
parallel,1000,99,1,1,3.725e-05,0.003003,0.00184775
parallel,1000,99,1,2,1.8750000000000002e-05,0.00164025,0.00093975
parallel,1000,99,1,4,1.1e-05,0.00093875,0.0004725
parallel,1000,99,1,6,8.75e-06,0.00069275,0.0003185
parallel,1000,99,1,12,8e-06,0.0007255,0.00030625
parallel,1000,99,10,1,0.00032675,0.00326425,0.01824425
parallel,1000,99,10,2,0.00016774999999999998,0.00181375,0.009319000000000001
parallel,1000,99,10,4,0.00013125,0.00102175,0.0046977500000000005
parallel,1000,99,10,6,0.00010175,0.00079,0.00317425
parallel,1000,99,10,12,9.3e-05,0.00086775,0.00303825
parallel,1000,99,20,1,0.0006385,0.003545,0.036331749999999996
parallel,1000,99,20,2,0.00035275,0.00196875,0.018453249999999997
parallel,1000,99,20,4,0.000231,0.00113075,0.00938575
parallel,1000,99,20,6,0.00021875,0.00110375,0.0063305
parallel,1000,99,20,12,0.00019575000000000001,0.0009205000000000001,0.00605475
parallel,1000,99,50,1,0.0016167500000000001,0.00451425,0.08905225
parallel,1000,99,50,2,0.00087375,0.0024572500000000002,0.046298000000000006
parallel,1000,99,50,4,0.0007385,0.00163,0.0241775
parallel,1000,99,50,6,0.000679,0.0013625,0.015796
parallel,1000,99,50,12,0.00062,0.001609,0.01506925
parallel,1000,99,70,1,0.00221025,0.00519725,0.1241975
parallel,1000,99,70,2,0.0012175,0.002821,0.064541
parallel,1000,99,70,4,0.000833,0.0017385,0.032853999999999994
parallel,1000,99,70,6,0.0009854999999999998,0.00168,0.0221205
parallel,1000,99,70,12,0.0008655,0.0016099999999999999,0.023668
parallel,10000,0,1,1,0.20311375,0.94801125,0.18127675
parallel,10000,0,1,2,0.103918,0.49270725,0.09433175
parallel,10000,0,1,4,0.05503025,0.25621,0.04835825
parallel,10000,0,1,6,0.04384925,0.1881085,0.032692
parallel,10000,0,1,12,0.04568775,0.18906025,0.0304695
parallel,10000,0,10,1,2.02114125,2.7643415,1.81779575
parallel,10000,0,10,2,1.0430115,1.43236125,0.9557845
parallel,10000,0,10,4,0.55509225,0.7584215000000001,0.48276949999999996
parallel,10000,0,10,6,0.42989374999999996,0.5731875,0.32969525
parallel,10000,0,10,12,0.43357025,0.5815965,0.30238875
parallel,10000,0,20,1,4.03520325,4.780423,3.6357895
parallel,10000,0,20,2,2.08014,2.469342,1.9133627500000001
parallel,10000,0,20,4,1.10193475,1.30392225,0.96346425
parallel,10000,0,20,6,0.86217275,1.006916,0.65270625
parallel,10000,0,20,12,0.87602475,1.02340075,0.61965475
parallel,10000,0,50,1,10.13577775,10.87305725,9.1063545
parallel,10000,0,50,2,5.19399775,5.582452,4.73603475
parallel,10000,0,50,4,2.75445125,2.95655275,2.4071015
parallel,10000,0,50,6,2.15368,2.29719,1.62828775
parallel,10000,0,50,12,2.1802725,2.3237445,1.532336
parallel,10000,0,70,1,14.14020075,14.88478875,12.7383685
parallel,10000,0,70,2,7.296717,7.68729025,6.70119475
parallel,10000,0,70,4,3.85866525,4.05967125,3.367969
parallel,10000,0,70,6,3.013108,3.156456,2.28039875
parallel,10000,0,70,12,3.04760175,3.1927719999999997,2.1660285
parallel,10000,30,1,1,0.140173,1.25961425,0.1794295
parallel,10000,30,1,2,0.07308625,0.6534055000000001,0.09495025
parallel,10000,30,1,4,0.03987925,0.33707275000000003,0.048320749999999996
parallel,10000,30,1,6,0.030809,0.230491,0.032738249999999997
parallel,10000,30,1,12,0.0313815,0.17793725,0.03034425
parallel,10000,30,10,1,1.410809,2.53220875,1.8172540000000001
parallel,10000,30,10,2,0.733756,1.311095,0.95639025
parallel,10000,30,10,4,0.38521175,0.68282575,0.48296625
parallel,10000,30,10,6,0.303398,0.5032285,0.32669725
parallel,10000,30,10,12,0.30962225,0.45609475,0.3031955
parallel,10000,30,20,1,2.83061225,3.949538,3.6258645
parallel,10000,30,20,2,1.45434475,2.03149325,1.89421625
parallel,10000,30,20,4,0.771203,1.0683225,0.96280075
parallel,10000,30,20,6,0.6025425,0.80258575,0.651522
parallel,10000,30,20,12,0.61641625,0.762668,0.610851
parallel,10000,30,50,1,7.06196075,8.178994,9.07820175
parallel,10000,30,50,2,3.65550575,4.2370255,4.75224375
parallel,10000,30,50,4,1.931603,2.2287445,2.40855275
parallel,10000,30,50,6,1.5101495,1.710016,1.63046375
parallel,10000,30,50,12,1.526186,1.6724165,1.517674
parallel,10000,30,70,1,9.93715175,11.05872175,12.736826
parallel,10000,30,70,2,5.1217275,5.70068225,6.6390080000000005
parallel,10000,30,70,4,2.70482875,3.001552,3.3661065
parallel,10000,30,70,6,2.1086110000000002,2.30871975,2.27935075
parallel,10000,30,70,12,2.137615,2.2861215,2.13662725
parallel,10000,50,1,1,0.100536,1.41780625,0.180589
parallel,10000,50,1,2,0.051992,0.731318,0.0946965
parallel,10000,50,1,4,0.02794325,0.376691,0.04830625
parallel,10000,50,1,6,0.022333,0.25825225,0.032686
parallel,10000,50,1,12,0.022541,0.17398125,0.03033775
parallel,10000,50,10,1,1.014125,2.33269875,1.81420825
parallel,10000,50,10,2,0.523372,1.2101229999999998,0.92865025
parallel,10000,50,10,4,0.277431,0.62584375,0.4819915
parallel,10000,50,10,6,0.2161025,0.4505275,0.3272815
parallel,10000,50,10,12,0.2160395,0.36725975,0.30529025
parallel,10000,50,20,1,2.028255,3.34948025,3.6215015
parallel,10000,50,20,2,1.0508955,1.731309,1.90421125
parallel,10000,50,20,4,0.5546385,0.902771,0.963829
parallel,10000,50,20,6,0.4310465,0.6646645,0.650712
parallel,10000,50,20,12,0.43577774999999996,0.5911295,0.61056025
parallel,10000,50,50,1,5.1034655,6.4278717499999996,9.09786575
parallel,10000,50,50,2,2.62952525,3.3136735,4.7704895
parallel,10000,50,50,4,1.3842430000000001,1.7340735,2.40464325
parallel,10000,50,50,6,1.07604875,1.31127675,1.6281240000000001
parallel,10000,50,50,12,1.08717675,1.24052725,1.52237025
parallel,10000,50,70,1,7.112736249999999,8.433254,12.72036
parallel,10000,50,70,2,3.69309375,4.37730625,6.73489675
parallel,10000,50,70,4,1.944955,2.294661,3.3643585
parallel,10000,50,70,6,1.5020435,1.73596075,2.27653075
parallel,10000,50,70,12,1.521309,1.67291025,2.13706275
parallel,10000,70,1,1,0.06252,1.04831925,0.18251225
parallel,10000,70,1,2,0.03229775,0.54189325,0.096827
parallel,10000,70,1,4,0.016913499999999998,0.27692925,0.04825075
parallel,10000,70,1,6,0.013453,0.18820399999999998,0.032674
parallel,10000,70,1,12,0.013698749999999999,0.127823,0.030314
parallel,10000,70,10,1,0.6223445000000001,1.61096125,1.817791
parallel,10000,70,10,2,0.32643900000000003,0.8368755,0.9514205
parallel,10000,70,10,4,0.1703585,0.43279775,0.48187825
parallel,10000,70,10,6,0.130083,0.30486825,0.3263735
parallel,10000,70,10,12,0.13071525,0.2462925,0.30478725
parallel,10000,70,20,1,1.24170375,2.22732725,3.62489375
parallel,10000,70,20,2,0.642102,1.15366075,1.92212225
parallel,10000,70,20,4,0.33672475,0.5973045,0.96345475
parallel,10000,70,20,6,0.25694675,0.43202799999999997,0.651417
parallel,10000,70,20,12,0.26224875000000003,0.37653175,0.6237035
parallel,10000,70,50,1,3.10728175,4.0933035,9.07110525
parallel,10000,70,50,2,1.604621,2.1196665,4.763802
parallel,10000,70,50,4,0.84945775,1.10995225,2.405722
parallel,10000,70,50,6,0.6420975,0.81640225,1.6280999999999999
parallel,10000,70,50,12,0.65256325,0.76660775,1.52117275
parallel,10000,70,70,1,4.349442,5.3347375,12.69272925
parallel,10000,70,70,2,2.2489045,2.75963725,6.72656625
parallel,10000,70,70,4,1.1803460000000001,1.4410984999999998,3.36536225
parallel,10000,70,70,6,0.89463675,1.07114075,2.283017
parallel,10000,70,70,12,0.9045555,1.02094625,2.13304375
parallel,10000,90,1,1,0.021758,0.5258510000000001,0.18161725
parallel,10000,90,1,2,0.0112605,0.27265700000000004,0.09514475
parallel,10000,90,1,4,0.00612125,0.1398925,0.04825625
parallel,10000,90,1,6,0.00456275,0.0941585,0.0325385
parallel,10000,90,1,12,0.00461525,0.0704245,0.030258
parallel,10000,90,10,1,0.21920825,0.7243955,1.814683
parallel,10000,90,10,2,0.112849,0.3748745,0.9568595
parallel,10000,90,10,4,0.058714749999999996,0.19226500000000002,0.48057825
parallel,10000,90,10,6,0.04368625,0.13349525,0.325805
parallel,10000,90,10,12,0.0445285,0.111275,0.30358025
parallel,10000,90,20,1,0.43621125,0.94278675,3.62961875
parallel,10000,90,20,2,0.2278215,0.4895975,1.913333
parallel,10000,90,20,4,0.11865375,0.25222175,0.96164425
parallel,10000,90,20,6,0.08437875,0.1743085,0.65205875
parallel,10000,90,20,12,0.08680675,0.15260275,0.6136757500000001
parallel,10000,90,50,1,1.0900995,1.5938695,9.0798105
parallel,10000,90,50,2,0.56420125,0.8259865,4.791458
parallel,10000,90,50,4,0.2948615,0.428556,2.4025125
parallel,10000,90,50,6,0.20963425,0.29959075,1.6252605
parallel,10000,90,50,12,0.20926575,0.275061,1.522647
parallel,10000,90,70,1,1.52586625,2.029276,12.68761175
parallel,10000,90,70,2,0.79209125,1.05194825,6.68483075
parallel,10000,90,70,4,0.41689625,0.55016325,3.36898475
parallel,10000,90,70,6,0.29273775,0.38228775000000004,2.27547225
parallel,10000,90,70,12,0.29429375,0.3601035,2.12783525
parallel,10000,99,1,1,0.002222,0.28862625,0.1822615
parallel,10000,99,1,2,0.00118525,0.14979475,0.09574475
parallel,10000,99,1,4,0.000612,0.07837975,0.04817175
parallel,10000,99,1,6,0.00042124999999999997,0.05408275,0.03261925
parallel,10000,99,1,12,0.00039675,0.0493395,0.0312445
parallel,10000,99,10,1,0.0217585,0.30474825,1.81126825
parallel,10000,99,10,2,0.0114345,0.1613115,0.956259
parallel,10000,99,10,4,0.00589975,0.08316525,0.48121975
parallel,10000,99,10,6,0.003985,0.058731,0.32589825
parallel,10000,99,10,12,0.00379775,0.05076175,0.305184
parallel,10000,99,20,1,0.044746499999999995,0.3325405,3.6358815
parallel,10000,99,20,2,0.0233625,0.17392825,1.9207855
parallel,10000,99,20,4,0.011729,0.089431,0.9622962500000001
parallel,10000,99,20,6,0.00792375,0.06175475,0.65189225
parallel,10000,99,20,12,0.00756625,0.0544125,0.60827575
parallel,10000,99,50,1,0.11051925,0.39690325,9.05674175
parallel,10000,99,50,2,0.05729975,0.20761925,4.7504815
parallel,10000,99,50,4,0.0293605,0.10703125,2.405074
parallel,10000,99,50,6,0.01958375,0.07892225,1.62959075
parallel,10000,99,50,12,0.0188385,0.06560150000000001,1.52486725
parallel,10000,99,70,1,0.15152525,0.44079275,12.691123
parallel,10000,99,70,2,0.0812575,0.23163124999999998,6.720633250000001
parallel,10000,99,70,4,0.0411455,0.11897325,3.36444525
parallel,10000,99,70,6,0.027486,0.080981,2.2745005
parallel,10000,99,70,12,0.02678475,0.07491275,2.17013475
serial,100,0,1,1,,,2.325e-05
serial,100,0,10,1,,,0.0002645
serial,100,0,20,1,,,0.00123875
serial,100,0,50,1,,,0.00393225
serial,100,0,70,1,,,0.005343250000000001
serial,100,30,1,1,,,7.825e-05
serial,100,30,10,1,,,0.00083025
serial,100,30,20,1,,,0.0015565
serial,100,30,50,1,,,0.0040767500000000005
serial,100,30,70,1,,,0.005578
serial,100,50,1,1,,,7.7e-05
serial,100,50,10,1,,,0.0007880000000000001
serial,100,50,20,1,,,0.0015945
serial,100,50,50,1,,,0.004146250000000001
serial,100,50,70,1,,,0.00228425
serial,100,70,1,1,,,7.975e-05
serial,100,70,10,1,,,0.00086275
serial,100,70,20,1,,,0.0017422499999999999
serial,100,70,50,1,,,0.0026167499999999997
serial,100,70,70,1,,,0.00528025
serial,100,90,1,1,,,8.875e-05
serial,100,90,10,1,,,0.0009289999999999999
serial,100,90,20,1,,,0.00193275
serial,100,90,50,1,,,0.0048325
serial,100,90,70,1,,,0.0067167500000000005
serial,100,99,1,1,,,9.825e-05
serial,100,99,10,1,,,0.000968
serial,100,99,20,1,,,0.001905
serial,100,99,50,1,,,0.0047575000000000004
serial,100,99,70,1,,,0.00452575
serial,1000,0,1,1,,,0.001898
serial,1000,0,10,1,,,0.01835425
serial,1000,0,20,1,,,0.03638925
serial,1000,0,50,1,,,0.09251725
serial,1000,0,70,1,,,0.1257575
serial,1000,30,1,1,,,0.0019285
serial,1000,30,10,1,,,0.0184725
serial,1000,30,20,1,,,0.03642125
serial,1000,30,50,1,,,0.09261525000000001
serial,1000,30,70,1,,,0.12641449999999999
serial,1000,50,1,1,,,0.0019275
serial,1000,50,10,1,,,0.01866225
serial,1000,50,20,1,,,0.036695
serial,1000,50,50,1,,,0.0917325
serial,1000,50,70,1,,,0.1268845
serial,1000,70,1,1,,,0.0019182499999999998
serial,1000,70,10,1,,,0.01895975
serial,1000,70,20,1,,,0.03700225
serial,1000,70,50,1,,,0.0903265
serial,1000,70,70,1,,,0.1268915
serial,1000,90,1,1,,,0.001829
serial,1000,90,10,1,,,0.018502249999999998
serial,1000,90,20,1,,,0.03734175
serial,1000,90,50,1,,,0.09098225
serial,1000,90,70,1,,,0.12908875
serial,1000,99,1,1,,,0.00189725
serial,1000,99,10,1,,,0.01857925
serial,1000,99,20,1,,,0.03711125
serial,1000,99,50,1,,,0.09314575
serial,1000,99,70,1,,,0.12788175000000002
serial,10000,0,1,1,,,0.18685274999999998
serial,10000,0,10,1,,,1.863717
serial,10000,0,20,1,,,3.7215232499999997
serial,10000,0,50,1,,,9.348936
serial,10000,0,70,1,,,13.0914675
serial,10000,30,1,1,,,0.186535
serial,10000,30,10,1,,,1.864922
serial,10000,30,20,1,,,3.721946
serial,10000,30,50,1,,,9.308473
serial,10000,30,70,1,,,13.08043075
serial,10000,50,1,1,,,0.18504675
serial,10000,50,10,1,,,1.8916917500000001
serial,10000,50,20,1,,,3.8118422499999998
serial,10000,50,50,1,,,9.57226775
serial,10000,50,70,1,,,13.05471625
serial,10000,70,1,1,,,0.1876665
serial,10000,70,10,1,,,1.86163225
serial,10000,70,20,1,,,3.7386755000000003
serial,10000,70,50,1,,,9.309560999999999
serial,10000,70,70,1,,,13.02976425
serial,10000,90,1,1,,,0.1846235
serial,10000,90,10,1,,,1.8621915
serial,10000,90,20,1,,,3.72156675
serial,10000,90,50,1,,,9.29737175
serial,10000,90,70,1,,,13.0234735
serial,10000,99,1,1,,,0.18963125
serial,10000,99,10,1,,,1.8607532500000001
serial,10000,99,20,1,,,3.72877725
serial,10000,99,50,1,,,9.32030875
serial,10000,99,70,1,,,13.12651225
